Valor,Comparacoes_Fila,Comparacoes_Heap
3025,1,0
6132,2,1
5295,4,2
3218,7,4
9455,8,6
6470,10,8
7530,12,10
633,20,11
2127,28,12
6948,31,15
5687,37,16
3774,45,17
8830,47,20
9656,48,23
7110,53,24
4370,64,27
6669,71,30
5123,83,32
372,102,33
2973,119,34
4535,132,36
9667,133,40
4914,147,41
8584,152,44
9627,155,48
2527,178,49
1623,203,50
498,230,51
538,257,52
7406,265,54
249,296,55
3563,317,57
3538,339,58
1896,367,59
6782,378,63
9346,383,67
4719,403,68
664,436,70
9979,437,75
3198,465,77
3964,489,79
5666,507,82
6973,519,86
2794,553,87
5322,573,88
435,617,89
3516,648,90
8344,657,92
5558,678,93
3888,708,94
7669,718,96
6446,737,99
9908,739,104
2583,782,106
1382,830,107
9535,836,111
1463,885,112
3006,927,114
34,986,115
2001,1034,116
412,1092,117
6635,1112,119
5565,1138,120
302,1200,121
4883,1232,124
8699,1242,128
9648,1247,132
9602,1254,135
9363,1264,137
9628,1270,140
2801,1322,141
3327,1369,143
1646,1429,144
9774,1432,150
2473,1490,151
3321,1539,153
209,1615,154
2341,1675,156
1665,1739,157
2120,1801,158
6230,1830,161
5686,1862,163
4918,1901,164
6138,1931,167
4621,1975,168
6300,2004,171
2025,2073,172
6084,2106,175
5658,2143,176
8411,2160,181
8086,2179,185
6070,2215,188
5046,2261,190
3,2355,191
6373,2386,194
9930,2388,200
8702,2404,203
2373,2479,204
9532,2491,207
8065,2514,210
2001,2596,211
8685,2615,214
7744,2640,215
0,2744,216
4811,2801,218
217,2903,219
3321,2972,220
1373,3066,221
8910,3082,224
1338,3178,225
3493,3247,227
5140,3300,229
7024,3331,232
4763,3392,234
7630,3420,237
1645,3517,239
7415,3547,242
6008,3595,244
4082,3664,245
3074,3746,247
4419,3814,249
2168,3908,251
5496,3963,253
9466,3976,257
2171,4072,258
1869,4176,259
5748,4226,261
7225,4259,264
595,4376,265
1632,4486,267
5290,4547,269
8948,4564,273
318,4690,274
9386,4705,278
8948,4723,280
5129,4789,282
5955,4843,284
8621,4868,286
6502,4913,287
4865,4988,289
9959,4990,296
6347,5040,298
6,5181,299
3335,5274,302
7462,5310,305
3988,5397,307
1333,5527,308
4878,5605,310
9996,5606,317
5415,5675,319
4304,5764,320
4416,5852,323
7583,5888,327
9800,5894,332
234,6043,333
6106,6102,336
1670,6231,337
2334,6351,339
3331,6455,341
8617,6484,347
318,6635,348
4973,6716,350
7565,6755,354
636,6901,355
4359,6997,357
6514,7049,360
2118,7180,361
314,7339,362
5135,7419,364
4972,7504,366
5179,7583,368
1447,7730,369
7672,7766,373
1537,7913,374
4782,8007,376
1486,8156,377
1878,8297,378
2467,8426,379
6364,8484,382
1874,8628,383
7882,8663,387
668,8824,388
2642,8952,389
1817,9100,391
469,9270,392
9228,9291,398
7923,9327,401
8491,9359,405
7914,9397,407
7606,9441,409
7108,9494,410
8233,9529,412
2579,9666,413
4673,9772,414
5221,9861,415
3290,9990,417
7539,10038,419
3691,10159,420
3604,10281,421
9027,10303,425
5016,10401,426
5136,10495,428
474,10682,429
2688,10826,430
3025,10965,431
1608,11139,432
4174,11258,433
4903,11362,436
4076,11484,437
6891,11544,441
3130,11686,442
8310,11722,446
3911,11849,447
5772,11930,449
128,12141,450
732,12332,451
1353,12521,452
4403,12641,455
5575,12728,458
9267,12749,462
2010,12921,463
2683,13078,465
3852,13211,467
941,13409,469
3709,13544,471
9074,13567,476
584,13774,477
7600,13824,480
2765,13984,481
540,14194,482
6627,14262,484
7781,14307,488
5676,14397,490
3453,14544,492
6821,14610,494
8702,14639,498
1414,14842,499
7348,14902,501
9957,14906,508
1842,15099,509
4239,15234,511
3087,15396,513
152,15634,514
4502,15763,516
5212,15869,518
6632,15942,521
5235,16048,522
6565,16123,524
1036,16342,525
810,16563,526
2184,16750,528
9398,16769,532
9846,16776,537
6037,16868,539
6691,16941,541
9907,16948,547
1463,17165,548
7275,17230,551
7507,17291,554
4228,17439,556
4168,17589,557
487,17832,558
8362,17874,561
9844,17883,566
292,18138,567
5183,18257,569
4898,18390,570
1706,18606,571
2531,18800,572
1208,19036,573
9900,19044,578
3122,19225,580
4295,19377,582
53,19647,583
7625,19705,586
9507,19726,590
3037,19913,591
9212,19943,593
2424,20148,594
4073,20310,596
6374,20402,598
961,20650,599
9823,20661,604
6220,20760,606
3350,20940,607
2867,21138,609
2479,21347,610
4813,21491,613
6494,21582,616
6339,21680,618
5393,21802,619
662,22065,620
3178,22258,622
3755,22434,624
6859,22515,627
3470,22700,628
5291,22826,631
8109,22877,634
1529,23128,635
4174,23296,637
9317,23325,640
1429,23583,641
7297,23658,643
3613,23843,645
1482,24100,646
1274,24368,647
9472,24391,651
4520,24552,653
6838,24638,656
8249,24690,659
4945,24838,660
3212,25044,663
9210,25078,667
1121,25355,668
5785,25473,670
2560,25702,672
3988,25885,675
4616,26050,678
7373,26127,681
482,26426,682
955,26711,683
9118,26746,689
1145,27029,690
4133,27212,692
2874,27437,693
4356,27613,694
7604,27682,698
8165,27738,702
2465,27982,703
9133,28017,709
8691,28063,713
1783,28330,714
562,28637,715
5988,28760,718
1748,29029,719
8397,29082,724
3614,29286,725
7572,29362,728
9269,29393,735
452,29714,736
5821,29842,739
4214,30032,740
17,30372,741
5031,30530,743
1687,30808,744
5802,30937,746
3943,31140,747
5675,31276,750
418,31606,751
7668,31677,755
2510,31932,756
7726,32001,760
6787,32102,763
3655,32317,765
1859,32598,766
9661,32613,773
8011,32678,777
5815,32812,779
4178,33012,780
6828,33114,783
1300,33428,784
2869,33679,785
8611,33731,789
8215,33793,792
5210,33954,793
6711,34062,795
2964,34316,796
5176,34481,799
4284,34684,801
2233,34964,803
1981,35255,804
105,35621,805
2799,35882,806
1998,36174,807
1489,36488,808
4487,36683,810
4152,36895,811
5432,37048,812
162,37418,813
922,37757,814
3101,38009,815
2672,38279,816
8648,38329,821
9888,38338,827
2679,38610,828
6860,38714,830
5901,38854,831
7042,38954,833
9027,38995,836
6431,39120,838
3871,39351,839
328,39724,840
5652,39880,842
8834,39926,846
8543,39984,848
7214,40085,851
5546,40248,852
1507,40581,853
2391,40878,854
6182,41015,856
92,41410,857
724,41771,858
6287,41906,860
2891,42182,862
2722,42466,863
4128,42695,865
3730,42938,866
6874,43047,868
9561,43069,873
245,43465,874
4148,43695,876
9014,43739,879
9269,43773,883
2797,44062,884
5254,44240,886
1949,44567,888
6009,44716,891
7507,44811,895
5343,44987,896
5036,45182,899
290,45587,900
5566,45756,903
5364,45933,905
2294,46253,907
4401,46478,909
259,46888,910
9509,46913,916
6299,47054,919
8118,47127,922
8252,47196,925
2481,47512,926
8210,47585,930
8976,47632,934
5120,47834,936
7454,47937,938
8050,48017,941
9249,48055,945
1184,48439,946
1276,48821,947
5162,49021,950
1429,49396,951
5424,49580,954
528,49989,955
699,50388,956
8221,50462,959
2134,50802,960
9000,50850,964
4230,51097,967
9641,51116,973
4343,51360,975
5619,51540,977
6283,51693,979
6262,51847,980
983,52248,982
8577,52314,985
663,52727,986
7595,52828,989
8086,52911,993
3314,53209,994
5713,53387,996
2690,53713,997
2147,54066,998
276,54512,999
8018,54599,1003
7267,54718,1005
7730,54812,1008
6068,54981,1009
2868,55304,1011
5266,55511,1013
7344,55629,1016
4382,55883,1017
3048,56200,1019
9121,56244,1024
1262,56657,1025
3747,56945,1027
3694,57236,1028
3396,57539,1029
9099,57585,1033
7925,57676,1035
9389,57708,1040
9794,57722,1045
9896,57731,1051
5672,57925,1052
6056,58102,1055
879,58536,1056
4250,58806,1058
3071,59135,1059
8474,59209,1063
8688,59274,1067
6385,59434,1069
540,59887,1070
1379,60308,1071
8532,60382,1074
816,60824,1075
9397,60858,1079
2152,61238,1081
4898,61485,1083
1818,61885,1085
1372,62313,1086
6516,62469,1089
