Valor,Comparacoes_Fila,Comparacoes_Heap
9996,62469,1097
9979,62469,1105
9959,62469,1113
9957,62469,1121
9930,62469,1129
9908,62469,1137
9907,62469,1145
9900,62469,1153
9896,62469,1160
9888,62469,1168
9846,62469,1176
9844,62469,1184
9823,62469,1192
9800,62469,1200
9794,62469,1208
9774,62469,1216
9667,62469,1224
9661,62469,1232
9656,62469,1240
9648,62469,1248
9641,62469,1256
9628,62469,1264
9627,62469,1271
9602,62469,1278
9561,62469,1286
9535,62469,1294
9532,62469,1301
9509,62469,1309
9507,62469,1317
9472,62469,1325
9466,62469,1332
9455,62469,1339
9398,62469,1346
9397,62469,1354
9389,62469,1362
9386,62469,1369
9363,62469,1377
9346,62469,1385
9317,62469,1393
9269,62469,1401
9269,62469,1409
9267,62469,1416
9249,62469,1424
9228,62469,1432
9212,62469,1440
9210,62469,1448
9133,62469,1456
9121,62469,1464
9118,62469,1471
9099,62469,1479
9074,62469,1487
9027,62469,1495
9027,62469,1503
9014,62469,1511
9000,62469,1519
8976,62469,1527
8948,62469,1535
8948,62469,1543
8910,62469,1550
8834,62469,1558
8830,62469,1565
8702,62469,1572
8702,62469,1580
8699,62469,1588
8691,62469,1596
8688,62469,1604
8685,62469,1612
8648,62469,1620
8621,62469,1628
8617,62469,1636
8611,62469,1643
8584,62469,1651
8577,62469,1658
8543,62469,1665
8532,62469,1673
8491,62469,1680
8474,62469,1688
8411,62469,1695
8397,62469,1703
8362,62469,1710
8344,62469,1718
8310,62469,1725
8252,62469,1733
8249,62469,1740
8233,62469,1747
8221,62469,1755
8215,62469,1763
8210,62469,1771
8165,62469,1778
8118,62469,1786
8109,62469,1794
8086,62469,1801
8086,62469,1808
8065,62469,1815
8050,62469,1822
8018,62469,1830
8011,62469,1837
7925,62469,1845
7923,62469,1853
7914,62469,1861
7882,62469,1869
7781,62469,1876
7744,62469,1883
7730,62469,1891
7726,62469,1899
7672,62469,1906
7669,62469,1914
7668,62469,1921
7630,62469,1929
7625,62469,1937
7606,62469,1945
7604,62469,1952
7600,62469,1960
7595,62469,1968
7583,62469,1976
7572,62469,1984
7565,62469,1991
7539,62469,1998
7530,62469,2006
7507,62469,2013
7507,62469,2021
7462,62469,2028
7454,62469,2035
7415,62469,2042
7406,62469,2050
7373,62469,2058
7348,62469,2065
7344,62469,2073
7297,62469,2081
7275,62469,2088
7267,62469,2096
7225,62469,2103
7214,62469,2110
7110,62469,2118
7108,62469,2125
7042,62469,2132
7024,62469,2140
6973,62469,2148
6948,62469,2155
6891,62469,2162
6874,62469,2169
6860,62469,2177
6859,62469,2185
6838,62469,2192
6828,62469,2199
6821,62469,2207
6787,62469,2215
6782,62469,2223
6711,62469,2230
6691,62469,2237
6669,62469,2244
6635,62469,2251
6632,62469,2258
6627,62469,2265
6565,62469,2272
6516,62469,2280
6514,62469,2288
6502,62469,2296
6494,62469,2303
6470,62469,2310
6446,62469,2317
6431,62469,2324
6385,62469,2331
6374,62469,2339
6373,62469,2347
6364,62469,2355
6347,62469,2362
6339,62469,2370
6300,62469,2377
6299,62469,2384
6287,62469,2391
6283,62469,2398
6262,62469,2406
6230,62469,2413
6220,62469,2420
6182,62469,2427
6138,62469,2435
6132,62469,2442
6106,62469,2449
6084,62469,2456
6070,62469,2463
6068,62469,2470
6056,62469,2477
6037,62469,2484
6009,62469,2491
6008,62469,2499
5988,62469,2506
5955,62469,2513
5901,62469,2520
5821,62469,2527
5815,62469,2535
5802,62469,2542
5785,62469,2549
5772,62469,2556
5748,62469,2563
5713,62469,2570
5687,62469,2578
5686,62469,2585
5676,62469,2592
5675,62469,2599
